,cpd00001__91__c0__93__,cpd00002__91__c0__93__,cpd00003__91__c0__93__,cpd00004__91__c0__93__,cpd00007__91__c0__93__,cpd00008__91__c0__93__,cpd00009__91__c0__93__,cpd00010__91__c0__93__,cpd00011__91__c0__93__,cpd00012__91__c0__93__,cpd00013__91__c0__93__,cpd00020__91__c0__93__,cpd00022__91__c0__93__,cpd00023__91__c0__93__,cpd00024__91__c0__93__,cpd00029__91__c0__93__,cpd00032__91__c0__93__,cpd00033__91__c0__93__,cpd00036__91__c0__93__,cpd00039__91__e0__93__,cpd00042__91__c0__93__,cpd00051__91__c0__93__,cpd00054__91__c0__93__,cpd00056__91__c0__93__,cpd00060__91__e0__93__,cpd00064__91__c0__93__,cpd00065__91__e0__93__,cpd00066__91__c0__93__,cpd00067__91__c0__93__,cpd00067__91__e0__93__,cpd00069__91__e0__93__,cpd00084__91__c0__93__,cpd00102__91__c0__93__,cpd00107__91__e0__93__,cpd00119__91__e0__93__,cpd00129__91__e0__93__,cpd00156__91__c0__93__,cpd00322__91__e0__93__,cpdUS12__91__c0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00076__91__e0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00281__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1125/23,0,0,0,0,0,0,0,0,0,-2325/23,0,200,0,0,1125/23,0,-50,-1125/23,0,0,0,0,0,-1125/46,1125/46,1,0,1125/46
860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41951/1867,0,74126/1867,0,0,0,0,0,0,1,4290/1867,0,-4290/1867,0,0,0,0,0,0
861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19/9108,0,0,0,0,0,0,0,0,0,-1/253,0,1/198,1/414,0,0,0,-1/18216,0,0,1/3036,0,-1/414,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-391/44,0,355/22,0,0,0,0,0,0,243/572,1,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1/198,0,17/1242,0,17/6831,0,0,-5/1012,-1/1518,5/13156,1/759,0,-17/6831,0,0,0,0,0,0
864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255,-150,52,0,2,154,0,0,0,25/13,0,0,-154,50,-1,1,0,0,1
865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1061/12,-1,1499/18,0,1463/18,0,0,0,0,0,0,0,-1211/18,0,-7,7,0,1,7
866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4650,0,22700,0,0,0,0,-4925,0,0,2250,0,-1500,0,-375,375,1,0,375
867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30/11,-27/11,1,0,1,9/11,0,0,0,0,0,0,-20/11,9/11,0,0,0,0,0
868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73/276,0,0,0,0,0,0,0,0,0,-479/552,0,1,0,0,73/276,0,-1/12,0,0,0,0,0,0,-73/552,73/552,0,0,73/552
869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8100/29,0,52300/29,0,0,0,0,-425,-1500/29,0,5250/29,0,0,0,-1125/29,1125/29,1,0,1125/29
870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1618/165,0,2828/165,0,1/3,0,0,0,0,1841/4290,1,0,-4/3,0,0,0,0,0,0
871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1/6,0,0,0,0,0,0,0,0,0,-47/144,0,4/9,0,17/144,0,0,-17/576,0,0,0,0,-2/9,0,-1/32,1/32,0,0,1/32
872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3675/19,0,200,0,0,1650/19,0,-100,0,100/13,0,0,-825/19,0,-825/38,825/38,1,0,825/38
873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7020/101,-78,3614/101,0,0,26,0,0,0,1,0,0,-26,26,0,0,533/5050,0,0
874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-988/31,0,0,0,0,0,0,0,0,0,-1144/31,0,1638/31,0,0,0,0,0,-182/31,1,0,0,-624/31,0,0,0,0,0,0
875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-113,-100/9,4762/9,0,0,0,0,-50/9,0,0,34,0,-34,0,0,0,0,100/9,0
876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1073/71,0,0,0,0,0,0,0,0,0,-83/71,0,1152/71,0,0,0,0,0,-572/71,0,1,0,0,0,0,0,0,0,0
877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-295/336,0,0,0,0,0,0,0,0,0,-551/336,0,2,1,0,0,0,0,0,0,41/336,0,-1,0,0,0,1/8400,0,0
878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-287/33,0,0,0,0,0,0,0,0,0,-32/3,0,70/3,0,0,0,0,0,0,0,0,0,0,0,-41/22,41/22,131/1650,0,41/22
879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-307,-204,68,2,0,206,0,0,-68,34/13,0,0,-206,68,-1,1,0,0,1
880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-497/136,0,2,59/136,0,157/68,0,0,0,0,1/8,0,-157/68,0,-59/272,59/272,0,0,59/272
881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-401/858,0,0,0,0,0,0,0,0,0,-643/858,-1/2,116/143,1/3,0,0,0,0,0,0,14/429,0,-1/3,1/6,0,0,0,0,0
882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8489/68,-78,78,533/34,0,1417/34,0,0,0,1,0,0,-1417/34,26,-533/68,533/68,0,0,533/68
883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1400/9,-50/3,2200/9,0,0,0,0,0,0,1100/117,50/9,0,0,50/9,0,0,1,0,0
